.pl 16959
CisloPrijemky;DatumVydeje;CisloDodavatele;NazevDodavatele;CisloKarty;NazevZbozi;MernaJednotka;NakupCena;SazbaD;VPal;VKart;Prijato
--DATA--
00004$;737794$;00814$;* Ostatní pøevod mezi karty$;2855$;Brıle VS 160/Basic èiré$;ks$;19.73$;21$;0$;10$;-14
00004$;737794$;00814$;* Ostatní pøevod mezi karty$;3126$;Brıle VS 160/Basic hnìdé$;ks$;19.73$;21$;0$;0$;14
00005$;737794$;00245$;Lipa velkoobchod papirem s.r.o.$;0665$;Fixaèní folie 500mm/20mi$;ks$;48.13$;21$;96$;6$;60
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;2735$;Mop NN VILEDA Super Mocio modrı$;ks$;102.74$;21$;0$;12$;12
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;5543$;Smeták/hlavice Vileda Classic 2v1+hul$;ks$;112.10$;21$;0$;6$;12
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;4137$;Ustní voda Odol classic 500ml$;ks$;44.36$;21$;0$;8$;8
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;3156$;Louh Stura Facile 1l na odpady$;ks$;65.12$;21$;0$;12$;120
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;4357$;Desinfekto 5l dezinfekce povrchy bezchlo$;kan$;122.12$;21$;108$;2$;12
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;2267$;Cilit Bang 750ml MR vodní kámen oranovı$;ks$;47.70$;21$;0$;12$;48
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;3117$;Osvìovaè dávkovaè FreshMatic stroj+vùnì$;ks$;97.84$;21$;0$;4$;4
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;1326$;Osvìovaè elek.Airwick NN prádlo/tyrk19m$;Ks$;48.31$;21$;0$;6$;6
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;2311$;Louh Tiret 500ml èistiè odpadu$;ks$;23.24$;21$;0$;12$;48
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;5269$;Zubní pasta Colgate Triple Action 100ml$;ks$;17.62$;21$;0$;48$;48
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;3258$;Mıdlo Palmolive Heømánek/Camellia 90g /6$;ks$;6.93$;21$;0$;72$;216
00006$;737794$;00206$;Espace velkoobchod drogerie s.r.o.$;5418$;SG Palmolive 250ml Cherry$;ks$;28.28$;21$;0$;6$;6
00007$;737795$;01058$;Vìra Niníková NIMPEX$;1700$;\o\Spojky gumové rohoí Okta$;ks$;25.00$;21$;0$;0$;2
00008$;737795$;00944$;* Zápùjèka$;0737$;Dávkovaè mıdla 1l bílı CN 10099$;ks$;161.84$;21$;0$;0$;-1
00009$;737795$;00812$;* Reklamace$;2596$;\O\Roho gumová mix 60x40cm doprodej$;ks$;40.00$;21$;0$;0$;2
00010$;737795$;00936$;VULKAN - Medical,a.s.$;3845$;Gumové rukavice technic 300/0,65 è.8-8,5$;par$;38.22$;21$;0$;12$;120
00010$;737795$;00936$;VULKAN - Medical,a.s.$;5950$;Gumové rukavice technic 300/0.65 è.9-9,5$;pár$;38.22$;21$;0$;12$;120
00010$;737795$;00936$;VULKAN - Medical,a.s.$;2806$;Rukavice latex jednorázové 100k XL pudro$;kra$;192.10$;21$;0$;10$;100
00010$;737795$;00936$;VULKAN - Medical,a.s.$;3178$;Rukavice latex jednorázové 100ks L pudro$;kra$;192.10$;21$;0$;10$;200
00010$;737795$;00936$;VULKAN - Medical,a.s.$;1698$;Rukavice latex jednorázové 100ks M pudro$;kra$;192.08$;21$;0$;10$;200
00010$;737795$;00936$;VULKAN - Medical,a.s.$;2951$;Rukavice latex jednor.100ks L nepudr9012$;kra$;225.40$;21$;0$;10$;80
00010$;737795$;00936$;VULKAN - Medical,a.s.$;5789$;Rukavice latex jednor.100ks M nepudr9012$;kr$;225.40$;21$;0$;10$;80
00011$;737796$;00981$;Miroslav Kuèera - Kuku papír$;2056$;Papírové ruèníky role 2vr PMidi9897/7371$;rol$;21.40$;21$;528$;12$;528
00011$;737796$;00981$;Miroslav Kuèera - Kuku papír$;3607$;Papírové ruèníky ZZ 2vr 1193 celuloz 150$;ks$;14.75$;21$;640$;20$;3200
00011$;737796$;00981$;Miroslav Kuèera - Kuku papír$;4263$;Papírové ruèníky ZZ 2vr Harm.1614 rec150$;ks$;11.45$;21$;640$;20$;1920
00011$;737796$;00981$;Miroslav Kuèera - Kuku papír$;5913$;Papírové ruèníky ZZ 2vr Katrin 65944 bíl$;ks$;14.50$;21$;720$;20$;720
00011$;737796$;00981$;Miroslav Kuèera - Kuku papír$;1245$;Toaletní papír 1vrs. Harmasan 400    50m$;rol$;3.70$;21$;1800$;30$;1800
00011$;737796$;00981$;Miroslav Kuèera - Kuku papír$;2205$;Toaletní papír Gigant 2vrs.280 Harm/7366$;rol$;36.20$;21$;288$;6$;576
00011$;737796$;00981$;Miroslav Kuèera - Kuku papír$;5494$;Ubrousky skládané 200k Harm.5130/7340 2v$;bal$;15.90$;21$;1040$;20$;200
00011$;737796$;00981$;Miroslav Kuèera - Kuku papír$;5666$;Papírové ruèníky role 2vr Katri 2634 60m$;rol$;28.00$;21$;0$;12$;96
00011$;737796$;00981$;Miroslav Kuèera - Kuku papír$;0749$;Toaletní papír Gigant 2vrs.240 Harm/7362$;rol$;25.70$;21$;336$;6$;336
00011$;737796$;00981$;Miroslav Kuèera - Kuku papír$;3309$;Toaletní papír Gigant 2vrs.190 Harm/7360$;rol$;16.50$;21$;576$;12$;576
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0743$;Alpa 1l francovka$;ks$;98.70$;21$;180$;6$;6
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;2201$;Aviril olej ïìtskı s azulenem 50ml$;ks$;14.30$;21$;0$;10$;10
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;6019$;Destilovaná voda 1l$;ks$;8.00$;21$;0$;6$;18
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;1690$;SG FA Men 2v1 mix 250ml$;ks$;27.60$;21$;0$;6$;60
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0178$;Finish prášek 2,5kg$;ks$;95.50$;21$;0$;6$;120
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;3886$;Osvìovaè spray Glade 300ml Oceán$;ks$;34.70$;21$;0$;12$;60
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;1970$;Tìlové mléko Lactovit 400ml Regeneraèní$;ks$;79.61$;21$;0$;6$;6
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;4535$;Alpa 160ml lesana$;ks$;22.70$;21$;0$;12$;24
00012$;737796$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;3252$;Koberce Mr.Teppich antialer.spray 600ml$;ks$;55.54$;21$;0$;12$;12
