.pl 16959
CisloKarty;NazevZboziInv;PocetInv
--DATA--
1430$;Drátìnı kartáè DR 4R NEREZ$;2
1431$;WC závìs Larrin NN modrı/zelenı 40g$;71
1432$;\o\Ramínko plast 38cm s pøíèkou èerné$;0
1433$;Alpa krém masání 250ml kelímek$;16
1434$;Cleamen 120 5l strhávaè vosku$;1
1435$;Cleamen 410 1l koupelny$;0
1436$;\o\Toaletní papír Gigant 2vrs.240 Harmon$;0
1437$;\o\Konev pozink 5l$;0
1438$;Èistiè auto MILIT 5L$;0
1439$;\O\Simply Green Regular 10l$;0
1440$;\o\Roundup Expres 3l$;0
1441$;||190104$;0
1442$;Zásobník ubrousky stolní malı Harmon1379$;6
1443$;Pad super 457mm/18" èernı$;0
1444$;\o\Tekuté mıdlo 500ml dìtské pumpa$;0
1445$;Cleamen 442 5l na podlahy strojní kyselı$;17
1446$;Nádobí Krystal 750ml lemongrass$;90
1447$;||190102$;0
1448$;Satur Badex 1l dezinfekce$;83
1449$;\o\Toaletní papír Gigant 2vrs.190 Celulo$;0
1450$;\D\Bistrol 3v1 na lino a dlabu 750ml$;0
1451$;\O\Alex mıdl.èistiè  renovuj.900ml lino$;0
1452$;\O\Isofa gel CLASS 500g$;0
1453$;Mıdlo Dìtské heømánkové 100g$;161
1454$;\O\Roho textilní Arcos 90x60cm èerná ol$;0
1455$;\o\Mop NN bavlnìnı Cormen 40cm jazykovı$;0
1456$;\O\Sùl prùmysl. 98.7% 50kg$;0
1457$;Benzín technickı sud 180l/140kg$;1
1458$;\O\Souprava smetáèek+lop.Vileda 141742$;0
1459$;\O\Sáèky mikrot.20x30/500ks role$;0
1460$;Peèící papír * TopStar * 6mx35cm hnìdı$;78
1461$;Pad mikro 410 mm$;0
1462$;||201110$;0
1463$;Avivá Robeta/Obzor 1l fialová koncentrá$;0
1464$;Nádobí Lena Industrial 5kg$;114
1465$;Štìtec plochı slabı C1.5 PH 81215$;23
1466$;||200729$;0
1467$;Èistiè plastù Coyote 300ml$;17
1468$;\o\Suma CoffeClean 2l$;0
1469$;||190104$;0
1470$;WC èistiè Savo 750ml Oceán$;262
1471$;\o\Leštìnka Diava multifunkèní 330ml MR$;0
1472$;\o\Toaletní papír 2vr.Tork 472242 6ks$;0
1473$;\O\Toaletní papír 2vr.Tork 127520-27rolí$;0
1474$;||190102$;0
1475$;||190103$;0
1476$;||190104$;0
1477$;\o\Roho gumová Quarta 150x100cm  23mm$;0
1478$;ECO Real Green Clean 500ml nádobí$;16
1479$;\o\Clean IT roztok na monit.+utìrka 200m$;0
1480$;Písek tekutı Krystal 600g Abrazivní$;83
1481$;Osvìovaè vzd.vonná elipsa Aircurve zele$;29
1482$;\o\Petrolej 4l BAL do lamp$;0
1483$;Univerzal Sidolux obsahem sody 1l Marsei$;33
1484$;\AU\Spulmat GTR 226-do myèek 10l$;0
1485$;||181106$;0
1486$;Guma do stìrky 45cm Pulex soft modra$;14
1487$;\o\Kartáè ehlièka malá$;0
1488$;||190104$;0
1489$;\o\Drift na motory 5l$;0
1490$;Hrablo na sníh PE 50cm + døevìná hùl$;146
1491$;Finish èistiè 250ml$;4
1492$;Finish lesk 400ml$;77
1493$;||201110$;0
1494$;\S1\Nádobí Lena Industry 5l$;108
1495$;Mop NN pásky hnìdé jemnı závit$;93
1496$;\O\Papírovı tácek 11x17cm 100ks$;0
1497$;||180724$;0
1498$;Osvìovaè vzd.Glade One Touch NN èis/Jap$;55
1499$;\o\Leštìnka na auto Carline 500ml MR$;0
1500$;Èistiè praèky Salbet Extra 250ml$;32
1501$;Møíka do pisoáru*Wave* Cotton Blos.modr$;198
1502$;\O\Swarfega Red 4l$;0
1503$;Pytle 160L/60mi 90x110cm role-15ks modré$;319
1504$;Sáèky na vloky uzké krab.13x9cm 30ks$;1637
1505$;Ubrousky HARMONY oranové 33x33cm 50ks$;45
1506$;||181220$;0
1507$;||190204$;0
1508$;\o\Spray základní šedá 400ml$;0
1509$;||190104$;0
1510$;\P\Lak.tu.HFB380086 capucino$;0
1511$;Pampers Jumbo Midi 90ks$;4
1512$;\O\Siøièitan sodnı 25kg EAN 67161218$;0
1513$;Ostøikovaè léto Carline 5l$;30
1514$;Mıdlo Dove 100g mix                   /4$;130
1515$;Utìrka houbová 5ks 15x18cm$;236
1516$;Papírové ruèníky role 3vr 11452-14 cel.M$;0
1517$;||181106$;0
1518$;||190531$;0
1519$;\o\Hùl teleskop AL 3x2m$;0
1520$;\o\Oasis PRO 14 Premium 2l$;0
1521$;||190104$;0
1522$;\o\Polomaska 3M 6200$;0
1523$;Špejle uzenáøské 100ks 30cm$;140
1524$;Souprava smetáèek+lopatka na tyèi 80cm$;41
1525$;Møíka do pisoaru*Wave* Melon zelená$;91
1526$;\O\Potravinová folie 60cmx300m$;0
1527$;Mop KOMPLET s holí Bentom hrubı z.+prová$;1
1528$;\o\Roho textilní Nova 200x100cm olemova$;0
1529$;||200729$;0
1530$;\O\Ubrousky TORK 33x33 BORDÓ 250ks$;0
1531$;||180530$;0
1532$;Kartáèek na ruce PE s dradlem Kamil$;31
1533$;\o\Isofa 300MAX 3.5kg$;0
1534$;Roho gumová s kokosem 75x45cm Exotic$;10
1535$;\O\Nádoba hranatá 30l + víko VAT-4$;0
1536$;||190104$;0
1537$;\AU\Sáèek do koše 60l,63x74 role 50ks$;0
1538$;||201110$;0
1539$;\o\Epicare 5  5l$;0
1540$;\O\Nádoba hranatá 50l + víko VAT-4$;0
1541$;||190530$;0
1542$;\o\Suma Calc D5 2l$;0
1543$;\o\Soda na zmìkèení vody jemnì mletá 500$;0
1544$;Hùl DR 170cm pr.28mm hrábì/sekáè na led$;15
1545$;\o\Mop komplet FW 110$;0
1546$;\o\Toaletní papír Gigant 2vrs.190 120m$;0
1547$;||190102$;0
1548$;Alpa gel francovkovı 100ml$;21
1549$;\o\Imagin Disinfect 5l$;0
1550$;\O\SG Riva 1l$;0
1551$;Prášek Robeta 1kg$;340
1552$;\D\Golem Bio S 1kg$;0
1553$;||180109$;0
1554$;SG/šamp.dìtskı Milli Baby vitamín.250ml$;22
1555$;||190102$;0
1556$;\AU\Stripper forte 10l$;0
1557$;\o\Obinadlo škrtící pryové 60x1250mm$;0
1558$;||200729$;0
1559$;\o\Roho textilní Nova 165x100cm olem.hn$;0
1560$;||180530$;0
1561$;\o\Roundup Aktiv 140ml$;0
1562$;WC závìs Kostka sáèek Freshener 40g mix$;596
1563$;\O\Septoderm gel 5 l$;0
1564$;||180530$;0
1565$;\D\Cirine bílá 550g$;0
1566$;\D\Cirine lutá 550g$;0
1567$;\o\Mikrozid liquid 250ml$;0
1568$;WC závìs Kostka les 40g$;121
1569$;\o\Incidin M extra 5l$;0
1570$;\o\Mop drák Sprint- Petra 40cm magnet$;0
1571$;||190528$;0
1572$;||190102$;0
1573$;||180104$;0
1574$;\o\Barva SU 2013/1000 4l/3.5l  bílá$;0
1575$;||201110$;0
1576$;Toaletní papír 2vrs.1000 Linteo Maxi 66m$;1189
1577$;\o\Sáèky do koše  8l 25x40cm 8mi 50ks$;0
1578$;\o\Zásobník ruèníky ZZ Losdi nerez mat$;0
1579$;Kalafuna mletá 1kg sáèek$;18
1580$;||190104$;0
1581$;Nádobí Pur 450ml balsam mix$;184
1582$;Cleamen 220 1l nerez$;20
1583$;\o\Miska PP 250ml 100ks$;0
1584$;Benzín technickı 700ml$;84
1585$;||201110$;0
1586$;Hadr na podlahu bílı Aratex 2 50x60cm$;1882
1587$;\O\Pap.ruè.role Tork 2vr.121206 160m bíl$;0
1588$;\o\Baterie Panasonic AA 4ks$;0
1589$;\o\Chòapka silikonová$;0
1590$;\o\Mop NN bavlnìnı FW 100cm plochı$;0
1591$;\o\Bombièky šlehaèkové jednoráz.50ks$;0
1592$;\O\Vapex B - pytel 50L= 8kg nepouívá se$;0
1593$;\o\Louh Krtek 900g$;0
1594$;Milit CFU  5L na podlahy pìnivı$;50
1595$;||200729$;0
1596$;||190103$;0
1597$;Diava Parket 750ml podlahy$;16
1598$;\o\Trixo lind 500ml hygiena rukou$;0
1599$;\o\Set dezinfekèních prostøedku$;0
1600$;||190528$;0
1601$;Fridex G 48 3l modro-zelenı$;0
1602$;Krumpáè 2,5kg s holí$;1
1603$;||190528$;0
1604$;Smetáèek DR textilní uzkı 2øadı$;120
1605$;Dezinfekèní gel na ruce 3l bezoplachovı$;42
1606$;Cleamen 510 5l dezinf. zdravot.potravin.$;0
1607$;Univerzál Savo 5kg Vùnì kvìtin$;27
1608$;Leštìnka Pronto spray Multis.400ml$;106
1609$;\O\Víko ke koši Rubbermaid šedé bez vhoz$;0
1610$;||190114$;0
1611$;Taski Suma Inox Classic D7 750ml nerez$;5
1612$;\O\visací zámek LION 25.3$;0
1613$;Koupelny Primona na rez a vod.kám.MR 500$;71
1614$;\O\Teplomìr koupelovı modrı$;0
1615$;\O\Olej na parkety BONA 5L$;0
1616$;\o\Profiutìrka Polifix 38x38$;0
1617$;\P\Lak.tu.F9X$;0
1618$;Kotouè okr.Prùm150-7029 5Rkov$;11
1619$;\o\Obuv sandál Misa dámskı bílı è.35-41$;0
1620$;\o\Toaletní papír Gigant 2vrs.280 recykl$;0
1621$;||190104$;0
1622$;||190104$;0
1623$;Utìrka leštící PU 30x30cm 320g$;53
1624$;Papírové kapesníky Tento 3vrstvé/ 10ks$;314
1625$;Zásobník na WC papír 280mm Plechovı bílı$;9
1626$;Alpa 160ml francovka støední$;111
1627$;Mıdlovı èistiè Alex 2v1 Lamino 750ml$;28
1628$;\o\Rozetky prùmìr 9cm 500ks$;0
1629$;||180109$;0
1630$;\O\Cleamen 190 1L odpìòovaè$;0
1631$;Rıák na hùl PE závit jemnı EKO 4226$;39
1632$;\o\STC rukr 1$;0
1633$;\kn\Stylmark-Pramark 3mm modrá$;20
1634$;\o\Pap.ruè.W-PD 2vr.3000 Kark /Nahr.4849$;0
1635$;WC závìs Kostka citron 40g$;143
1636$;Odlakovaè Delia mix 100ml$;75
1637$;\o\Barva RAL 7001 5l$;0
1638$;||180530$;0
1639$;Roho Jutová møíková 50x30cm$;0
1640$;\O\Zástìra PVC èerná 70x110$;0
1641$;Osvìovaè vonná závìs. Kalvei HangTag$;0
1642$;Roho textilní 60x40cm RIPS/Renox$;18
1643$;Vteøinové lepidlo                    /12$;123
1644$;\o\Barva RAL 4008 5l$;0
1645$;\o\Barva RAL 9010 5l bílá,lesk$;0
1646$;\O\Sáèky do vysavaèe ETA Belo$;0
1647$;||190104$;0
1648$;\O\Krém Isolda 5l vèelí vosk$;0
1649$;\o\Biotoll prášek na mravence 100g$;0
1650$;Vìdro PVC 10l Spokar s mìrkou a vılevkou$;38
1651$;||190111$;0
1652$;||181106$;0
1653$;Papírové ruèníky ZZ 1vr Cerepa 250 zelen$;381
1654$;\o\Cutasept F 5l$;0
1655$;Mıdlovı èistiè Pronto 750ml laminát.podl$;134
1656$;||190102$;0
1657$;Pemza s kartáèkem Natural$;2
1658$;||190103$;0
1659$;Benzín technickı 4l$;37
1660$;Osvìovaè elek.Ambi-pur strojek Oceán$;5
1661$;Obuv holínka gumová Ginocchio 37-46$;0
1662$;||190104$;0
1663$;\o\Rational èistící konvektomat/gril 10l$;0
1664$;\o\Barva RAL 2011 5l$;0
1665$;\O\Grillex 1l$;0
1666$;||201110$;0
1667$;\o\Imagin na škrob Automat 6kg$;0
1668$;WC èistiè Dr.Devil 750ml Lemon$;99
1669$;||180104$;0
1670$;\o\Into Fresh 1l$;0
1671$;\o\Pøíbor plast vidlièka 17cm 100ks$;0
1672$;||190103$;0
1673$;||190102$;0
1674$;||190531$;0
1675$;\o\Sáèky do vysavaèe ETA 2471$;0
1676$;||200107$;0
1677$;\O\Pytle 120L/100mi 70x110cm modrı$;0
1678$;\o\Barva RAL 1016 5l$;0
1679$;||201110$;0
1680$;Pøíbor nerez kávová lièka Miláno$;54
1681$;||201110$;0
1682$;||190104$;0
1683$;\O\Sáèky igelit.26x36cm 50mi 200ks$;0
1684$;Prášek Rex 63dávek Color$;5
1685$;|Paleta EUR - Solne Mlyny$;0
1686$;Peodorant na nohy spray 150ml$;2252
1687$;\o\Písek tekutı Satur 5l$;0
1688$;Koš PVC 12L kulatı dìrovanı modrı  31x29$;0
1689$;\O\Tekuté mıdlo zpìòov.Tork S4 520501 1L$;0
1690$;SG FA Men 2v1 mix 250ml$;25
1691$;Mop NN mikro Sprint Plus 50cm bílı$;1
1692$;||200108$;0
1693$;Mıdlo FA Vitalising sv.modré 90g      /4$;0
1694$;||190104$;0
1695$;\o\Prázdná lahev 0,65l + rozpraš.pistole$;0
1696$;\o\Isofa gel 200CLAS 3.5kg modrá$;0
1697$;\P\lak.tu.HFA380054 dynamic$;0
1698$;Rukavice latex jednorázové 100ks M pudro$;306
1699$;Prací gel Perwoll 1,8l Sport$;1
1700$;||180104$;0
1701$;WC závìs Larrin PlusB fialovo/bílı 40g$;40
1702$;\o\Pap.ruè.ZZ 2vr.celuloza 150ut$;0
1703$;\O\škrabka oken/podl.25c+hu$;0
1704$;||190114$;0
1705$;WC souprava obyè Streè bílá 13x13x39cm$;132
1706$;\o\Incidin Oxydes 6l$;0
1707$;Papírové kapesníky krabice Cube 60ks 3vr$;59
1708$;Šampon Primo 1l Kopøiva Clear$;27
1709$;||180530$;0
1710$;Stìrka malá špachtle PE 10cm komplet  /6$;16
1711$;Líh Spirit syntetickı technickı 1l$;37
1712$;\O\Sanytol 500ml na roztoèe s MR$;0
1713$;\o\Sáèek PE se zipem k poloce 1599$;0
1714$;\o\Konev pozink 10l$;0
1715$;||190104$;0
1716$;Šampon Tania 1l Naturals Kopøiva$;17
1717$;Kartáè dehtovací 23x8x9cm$;11
1718$;Rıák na hùl DR 5216/861 22x7x5cm$;77
1719$;\o\Ustní voda Odol/Stoma mix 250ml$;0
1720$;WC závìs Bref 4koule Lemon 51g$;418
1721$;WC gel Larrin 200ml Oceán modrı$;0
1722$;\o\Pøíbor plast nù 17cm 100ks$;0
1723$;|SEVER|SUD 200l Prodej$;-35
1724$;\D\Bistrol 3v1 na døevo a parkety 750ml$;0
1725$;Smeták PE závit jemnı 5120 EKO$;29
1726$;Roho textilní 60x40cm Arcos èern.dráky$;4
1727$;Textilní rukavice Bavl.KITE /Kevin è.10$;1021
1728$;Osvìovaè dávkovaè Tork vunì NN 75ml$;0
1729$;\o\Závlaèka dráku  mopu$;0
1730$;||190104$;0
1731$;||181106$;0
1732$;Drátìnka nerez Starlit Jumbo 40g 7x7cm$;577
1733$;Vonìnky 3ks Citrus lutı do vysavaèe$;45
1734$;||180104$;0
1735$;Potravináøská folie MAXI 30*300m prum.38$;21
1736$;\O\Zástìra koená sváøecí$;0
1737$;\o\Rukavice nitril.Protec nepudr.XS 100k$;0
1738$;Textilní rukavice Polomáèe ÈERNE è.10/XL$;12
1739$;Škrabka velká kolnus na tyè  jednobøitá$;0
1740$;\o\Smeták Vileda DuActiva 2v1$;0
1741$;\o\Prášek Robeta 600g$;0
1742$;\o\Smeták 5141/801/Z$;0
1743$;Smetáèek PE 5220 EKO ruèní$;67
1744$;\O\Tekuté mıdlo 300ml Protex$;0
1745$;\o\Roundup Herbicid 1l$;0
1746$;\o\Pøíbor plast lièka 12,5cm 100ks$;0
1747$;||190103$;0
1748$;||190102$;0
1749$;\o\Alobal 45cm x 150m 11mi$;0
1750$;Diava samolesk/vosk na podlahy 750ml$;92
1751$;\O\Taška mikro 6kg 100ks$;0
1752$;||190111$;0
1753$;||190102$;0
1754$;||181106$;0
1755$;Papírové ruèníky ZZ 1vr Tork 290135 zele$;0
1756$;\o\Sáèky do vysavaèe Henry NVM1C2$;0
1757$;iletky Astra 5ks Platinum zelené$;129
1758$;||191218$;0
1759$;Cleamen 230 6kg strojní mytí nádobí$;8
1760$;Osvìovaè elek.Airwick komplet Bílé kvìt$;8
1761$;Souprava smetáèek+lopatka 5220 EKO s gum$;86
1762$;||191218$;0
1763$;Houba koupel.masá.Ledvinka 15x8,5x4,5cm$;92
1764$;\o\Pap.ruè.role Tork 2vr.471113 Enmotion$;0
1765$;STC lyonskı plochı C 12$;1
1766$;||191218$;0
1767$;||201126$;0
1768$;STC lyonskı kulatı C 12$;36
1769$;STC lyonskı kulatı C 16$;16
1770$;||180104$;0
1771$;Gumové rukavice Spontex Natur Fresh L$;104
1772$;||200108$;0
1773$;Utìrka UNI BAL/PETR 32x38cm rùová$;890
1774$;||190103$;0
1775$;||190531$;0
1776$;||190102$;0
1777$;Hul kovová-hliníková na hrablo$;1
1778$;\o\Zásobník ruèníky role Cormen modr.195$;0
1779$;\o\Vlhèené ubrousky na monitor 100ks$;0
1780$;||190104$;0
1781$;\O\Víko plast 80l 37x32cm modré$;0
1782$;\o\Stojan na desinfekci - Dávkovaè bezdo$;0
1783$;Olej na šicí stroje,kola 60ml$;25
1784$;\O\Roho textilní Arcos 145x75cm 3xhrana$;0
1785$;Párátka 500ks plochá v krabièce 6cm$;15
1786$;\o\Roho textilní Arcos 100x120cm èerná$;0
1787$;Koupelna Real Antikalk universal 550g$;46
1788$;||180104$;0
1789$;||180104$;0
1790$;||180724$;0
1791$;Chemoprén univerzal 50ml$;37
1792$;\o\Isofa 200clas 3,5kg$;0
1793$;Roho gumová dìrovaná 150x100cm OKTA  23$;2
1794$;\KN\Pragolog EFCO 3024 50kg$;0
1795$;\O\Univerzal BEL 25l$;0
1796$;\o\Špejle bambusové 25cm 200ks$;0
1797$;Pytle 120L/60mi 70x110cm role-20ks modrá$;314
1798$;||191218$;0
1799$;||190103$;0
1800$;||190531$;0
1801$;||200108$;0
1802$;Savo  1,2l perex do praèky$;676
1803$;\o\WC kartáè 4309/866$;0
1804$;Smeták PE závit hrubı imitace døeva$;143
1805$;STC školní kulatı KOV C 8 7102/8$;17
1806$;||190111$;0
1807$;||190102$;0
1808$;||190102$;0
1809$;||181106$;0
1810$;||190103$;0
1811$;Formitox mravenci,šváby 120g$;16
1812$;\o\Zásobník ubrousky Tork 272513 pultovı$;0
1813$;\O\Prášek Persil 70dávek FbS$;0
1814$;\o\Montání pìna Distyk 300ml$;0
1815$;||181106$;0
1816$;\o\Šampon hotel.vlas+tìl.20ml Simple/Pur$;0
1817$;Koš vıklopnı 20L Kajetán bílo-èervenı$;0
1818$;WC kartáè s boèním kartáèem$;34
1819$;WC závìs Mattes NN - MIX$;68
1820$;|Barel 50l Milit záloha na vrácení$;0
1821$;Roho gumová dìrovaná 100x75cm OKTA 23mm$;3
1822$;||190102$;0
1823$;Souprava smetáèek+lopatka Perfekt/2010$;166
1824$;SG Mitia 400ml 2v1 Fresh force$;23
1825$;||190104$;0
1826$;||190104$;0
1827$;\o\Utìrka jednor.Eco Extra role 20x40cm$;0
1828$;Stojan na stìnu Tork 652108,652100$;10
1830$;\O\Desam Prim  5l dezinfekce bez vùnì$;0
1832$;||190104$;0
1834$;\o\Menu BOX 2dílnı 241x207x69mm 125ks Bí$;0
1836$;\O\uklidovı vozík Plus III bez košíku$;0
1837$;\o\Kelímek 0.2l bílı PP 100ks      73202$;0
1839$;Zásobník ruèníky ZZ Plechovı bílı$;12
1841$;||191219$;0
1842$;Zubní pasta Vademecum 75ml White$;30
1843$;\o\Zásobník WC papír Merida TOP Gigant$;0
1844$;\o\Pruina dímaèe$;0
1846$;\o\Drátìnka nerez 15g$;0
1848$;\O\Nádobí Krystal balzám 5l$;0
1850$;||190104$;0
1852$;\o\Roho gumová Okta 120x95cm èerná$;0
1854$;\o\Pap.ruè.role Tork 3vr.130080 modrá$;0
1856$;\o\Mıdlo pìn.DEB 1l Energie Luxus refres$;0
1858$;\o\Mop drák FW 130cm pevnı$;0
1860$;||191218$;0
1862$;\o\Primalex plus 7.5kg$;0
1864$;Papírové ruèníky role 1vr Tork 510137 bí$;6
1866$;\O\vosk na parkety Bona 1kg$;0
1868$;\o\Sáèky 20x30/15mi 200ks$;0
1869$;\o\Šampon Riva 500ml bøíza/kopøiva$;0
1871$;Rukavice igelitové jednoráz.100ks pánské$;1143
1872$;||201110$;0
1873$;||191218$;0
1874$;\o\Desam OX  1l$;0
1875$;||180530$;0
1876$;||191218$;0
1877$;WC èistiè Duck 750ml Ultra gel modrı$;135
1878$;\o\Kobereèek Tereza inylkovı Bílı 50x70$;0
1880$;Pad ruèní zelenı vysokı-S$;0
1881$;Papírové ruèníky ZZ 2vr Katrin 76919 150$;601
1883$;SG Elegance 250ml Sensitive$;30
1885$;\o\Hùl teleskop AL 2x0,6m$;0
1887$;\o\Pøíbor plast líce 17cm 100ks$;0
1888$;Osvìovaè vzd.vonná elipsa AirCurv Mo/Fi$;25
1890$;||180626$;0
1891$;|Barel 50l Milit záloha prodej$;-60
1893$;Roho textilní 75x45cm Excelent gum.kraj$;4
1895$;Motouz POP 1kg$;11
1897$;||190531$;0
1899$;||190531$;0
1901$;||180704$;0
1902$;Deo Dove Original 150ml               /6$;0
1903$;||181106$;0
1904$;Cleamen 141 20l strojek alkalic$;0
1905$;||190102$;0
1906$;Univerzal HIT  5kg$;55
1907$;\o\Miska plast na polévku 500ml 50ks$;0
1908$;||201201$;0
1909$;\o\Desam Wipes 100ks doza ubrousky$;0
1910$;Napichovátka malá 100ks 7cm$;119
1911$;\o\Alobal 60cm x 100m 18mi extra silnı$;0
1912$;Smetáèek DR NELAK ÍNÌ 3216           /8$;47
1913$;\o\Toaletní papír 2vr.Tork 127530 bílı$;0
1914$;Smeták DR nelakovanı èistá ínì 28cm$;91
1915$;\o\Zeva P 50l$;0
1916$;Mıdlo FA jogurt Aloe 90g              /4$;24
1917$;\O\Vodní filtr Delonhi DLS C002$;0
1918$;||180724$;0
1919$;Osvìovaè elek.Ambi-pur NN Oceán$;9
1920$;\o\Filtr pap.ploch bílı B20 pr.330mm 250$;0
1921$;\O\Demycan dezinfekce mykoz 120ml spray$;0
1922$;||180530$;0
1923$;|Paleta EUR - Unilever$;0
1924$;Houba na tabuli lutá pouze celé balení$;499
1925$;STC školní kulatı KOV C 2 7102/2$;15
1926$;\o\Pap.ruè.role Tork 2vr.130041 bí,750ut$;0
1927$;||190102$;0
1928$;Zubní pasta Vademecum 75ml Clean$;22
1929$;\O\Smetáèek Fibrovı 5223206000$;0
1930$;Vìdro PVC 15l s mìrkou Plafor$;15
1931$;Šampon suchı Amica 30g$;3
1932$;\o\Sluchátka LA3001-45124-4$;0
1933$;||180530$;0
1934$;\o\Imagin Desinfect 750ml MR$;0
1935$;\D\Herkules Expert 130g$;0
1936$;Roho jutová møíková 60x35cm$;11
1937$;||190103$;0
1938$;Tekuté mıdlo 500ml Mitia Silk Satin bílá$;92
1939$;||190529$;0
1940$;||180724$;0
1941$;\o\Fridex G Plus 60l sud$;0
1942$;Kartáèek Ringo k roho gumové dìrov.OKTA$;0
1943$;Somat do myèky oplachovací 750ml$;36
1944$;|Barel 50l-Milit autoèistiè$;0
1945$;Dávkovaè mıdla a desinf. NOVO 800ml kouø$;46
1946$;\o\Dávkovaè mıdla NOVO 350ml èirı$;0
1947$;Milit MFC  5l strojní modrı nepìnivı$;0
1948$;Hùl teleskop 110- 200cm + redukce Spokar$;6
1949$;Pevastar tekutá pasta 1l$;40
1950$;SG Lactovit 300ml Regener. LactoUrea$;5
1951$;||171108$;0
1952$;||180530$;0
1953$;\o\Talíø plastovı 22cm s oušky 100ks$;0
1954$;Houbièka nádobí s drákou po 10ks 10x7cm$;683
1955$;||201126$;0
1956$;ECO Real Green Clean tabl.myèka 40ks$;7
1957$;\o\Dávkovaè mıdla 500ml CN metalic 5098$;0
1958$;\o\ETA exteron pøípravek do tepovaèe$;0
1959$;||181106$;0
1960$;Štìtec plochı C 0.75 PH 81264$;49
1961$;\O\Stìrka molitanová 35cm$;0
1962$;\O\vozík EKOMOP 120 atyp.vı$;0
1963$;\o\Mıdlo pìnové DEB 1l Foamer Original$;0
1964$;Always ULTRA super plus 8$;17
1965$;\o\Imagin koncentrát na nádobí 25kg$;0
1966$;||171108$;0
1967$;Oivovaè plastù pneu COYOTE 400ml$;22
1968$;||190102$;0
1969$;Mycí zaøízení dímací+hùl S 50044$;10
1970$;Tìlové mléko Lactovit 400ml Regeneraèní$;0
1971$;||201110$;0
1972$;Respirátor s ventilkem 731/1031 FFP2NRD$;0
1973$;Odìv montérková kombinéza Emerton S-XL$;0
1974$;Mop NN mikro **Plus Spontex Express$;8
1975$;\o\Spray RAL 4008 fialová 400ml$;0
1976$;Štìtec plochı C 3,5  PH 81264$;71
1977$;WC èistiè Krystal 5l kyselı modrı$;28
1978$;\O\Pap.ruè.ZZ 2vr.15423-27 Cel.150$;0
1979$;\O\Star Sporáky a trouby 6kg$;0
1980$;||181106$;0
1981$;||201110$;0
1982$;Zubní kartáèek Spokar 3418 tvrdı$;7
1983$;|Paleta EUR - Tatrach.NEÚÈT$;0
1984$;Štìtec plochı C 4    PH 81264$;115
1985$;||190102$;0
1986$;\o\Stojan na dezinfekci - záslepky$;0
1987$;||190103$;0
1988$;\O\Napichovátko èiré 9cm 500ks$;0
1989$;Univerzal JIP 10L mycí prostøedek$;0
1990$;Servošampon *Carline* 5kg$;0
1991$;SG Mitia 400ml Honey Milk$;0
1992$;Mop KOMPLET plochı Sprint PL.40 /2xkapsa$;1
1993$;Koštì prùmyslové DR 250x55 s holí 120cm$;205
1994$;\o\Kartáè silnièní 30cm 1068$;0
1995$;Sùl prùmyslové tablety 25kg$;46
1996$;Papírové ruèníky role 2vr Katri 2658 90m$;102
1997$;\o\Roho textilní Nova 220x80cm olem.èer$;0
1998$;\o\Návlek obuv jednorázovı 30mi 100ks$;0
1999$;Líh technickı 4l$;4
2000$;\o\Rukavice vinyl L 100ks nepudrované$;0
2001$;\o\Dávkovaè zpìò.mıdla 500ml Harmony$;0
2002$;\o\Renomag Plus na mytí ploch 25kg$;0
2003$;Ubrousky 1vr.33x33cm 100ks bílé$;1106
2004$;\o\Roho textilní Arcos 150x60cm èerná$;0
2005$;Drátìnka nerez Bright 18g 2ks        /24$;229
2006$;Kartáè zkumavka 16 2523/726$;21
2007$;\o\Barva SU 2013/2430 0.75l hnìdá$;0
2008$;Oprašovák prachu a pavuèin ohebnı, mikro$;4
2009$;\o\Sanela elektronika do pisoarù$;0
2010$;\o\Mop NN balvnìnı FW 110cm$;0
2011$;Rıák ruèní DR mini 5222/861  16x5x4cm$;15
2012$;\o\Úklidovı vozík Piccolo II$;0
2013$;\o\Mıdlo pìnové Deli plus 880ml$;0
2014$;\o\Spray RAL 6018 zelená 400ml$;0
2015$;\KN\Sul NaCl p.a.   25kg$;0
2016$;\o\WC NET aktivátor septiku$;0
2017$;\D\Trio prach spray 300ml$;0
2018$;||190114$;0
2019$;\o\Sáèky 30x50/15mi 200ks$;0
2020$;||190104$;0
2021$;Vatové tyèinky 160ks Linteo náplò$;154
2022$;||190114$;0
2023$;Prací gel Neon 1l universal$;70
2025$;Vatové tyèinky 100ks Linteo krabièka$;830
2026$;Zásobník papírové role Prima se senzorem$;0
2027$;||190531$;0
2028$;\o\Montání pìna Soudal 500ml$;0
2029$;Utìrka mikro Ecolab ECO 5ks èerven.toale$;10
2030$;\O\Puron KD 11kg$;0
2031$;Koš PVC 12L kulatı dìrovanı lutı  31x29$;0
2032$;\o\Bona TV Polisch remover mycí 1l$;0
2033$;||180724$;0
2034$;\o\Roho textilní Arcos 100x90cm èerná$;0
2035$;||200729$;0
2036$;\o\Winnis Brillante 5l lesk do myèky$;0
2037$;Prachovka pastel 40x52cm$;84
2038$;WC závìs Larrin PlusB modro/bílı Ledová$;130
2039$;Tekuté mıdlo 500ml Mitia Pomegranate$;35
2040$;Tekuté mıdlo 10L Mitia Agua active$;0
2041$;\o\Sáèky do vysavaèe HyClean/Miele$;0
2042$;Odìv kalhoty do pasu pánské 50-68$;0
